02/02/17 13:02:12:839 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | Updater has never been run on the machine.
02/02/17 13:02:12:839 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | StartupUtility : Window is NOT Elapsed.
02/02/17 13:02:12:839 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : inside initialize.
02/02/17 13:02:14:740 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
02/02/17 13:02:14:945 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
02/02/17 13:02:31:319 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
02/02/17 13:02:31:319 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
02/02/17 13:03:01:447 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
02/02/17 13:03:01:447 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : inside finalize.
02/02/17 13:03:01:447 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 56734 | AdobeUpdaterGoCartLauncher : unloaded goCart library
02/06/17 13:45:26:945 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | >>> Adobe Updater Log Begin >>>
02/06/17 13:45:26:976 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | Application Version: 9.0.0.15
02/06/17 13:45:26:976 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | cmdline option: -logFile = /Users/s00168853/Library/Application Support/Adobe/AAMUpdater/1.0/aamul.log
02/06/17 13:45:26:976 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | cmdline option: -logLevel = 2
02/06/17 13:45:26:976 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | StartupUtility : Loaded at startup/logon.
02/06/17 13:45:26:977 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
02/06/17 13:45:26:977 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | StartupUtility : WARNING - Updater is NOT enabled.
02/06/17 13:45:26:978 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | Updater has never been run on the machine.
02/06/17 13:45:26:978 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | StartupUtility : Window is NOT Elapsed.
02/06/17 13:45:26:978 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : inside initialize.
02/06/17 13:45:29:291 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
02/06/17 13:45:29:353 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
02/06/17 13:45:32:375 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
02/06/17 13:45:32:375 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
02/06/17 13:46:02:733 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
02/06/17 13:46:02:733 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : inside finalize.
02/06/17 13:46:02:733 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 232949 | AdobeUpdaterGoCartLauncher : unloaded goCart library
